"Store Maintenance","Loja em Manutenção"
"Maintenance settings","Configurações da Manutenção"
"Enabled","Habilitado"
"Enables or disables the maintenance page","Ativa ou desativa a página de manutenção"
"Title of page","Título da página"
"Will be added to the html title tag","Será adicionado a tag title do html"
"CSS","CSS"
"Example: css/styles.css","Exemplo: css/styles.css"
"Store Maintenance","Loja em Manutenção"
"Select the static block","Selecione um bloco estático"
"It is the maintenance page to be displayed","É a página que será exibida em manutenção"
"Please select one static block ...","Por favor selecione um bloco estático ..."
"Administrator can view frontend","Administradores podem acessar"
"Only logged administrators, can they have access","Apenas os administradores logados podem visualizar"
"End date to be accessed","Data final para ser acessado"
"m/d/Y - After the date the frontend can be viewed","m/d/Y - Após a data o frontend pode ser visualizado"
"Your current IP is","Seu IP atual é"
"IP Adresses","Endereços de IP"
"IP addresses allowed pair to access the frontend","Endereços de IPs permetidos de acesso ao frontend"
"add IP","Adicionar IP"
"Enable log of attempt of access","Ativar log de tentativa de ​​acesso"
"Saves the ip, date and page attempt of access in log","Salva o ip, data e página da tentativa de acesso no log"
"Name and extension of log","Nome do arquivo de log"
"Example: log.txt to root or var/log/maintenance.txt","Exemplo: log.txt para raiz ou var/log/maintenance.txt"
